Names,profession,job_length,state,homeownership,annual_income,monthly_wage,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,total_payment,ten_of monthly,spent_strategy,issue_date,payoff_date
Maureen Galloway,,,PA,OWN,"10,320",860,77.67,67900,12103.00,credit_card,3000,36,10.91,98,3982,10,360,1/1/2018,1/1/2021
Nicholas Oliver,care provider,10,CA,MORTGAGE,"26,400","2,200",77.55,484307,54015.00,debt_consolidation,27000,36,14.08,924,38405,92,3312,1/1/2018,1/1/2021
Donna Rogers,teachers,0,TX,MORTGAGE,"50,000","4,167",76.5,203326,122818.00,debt_consolidation,40000,36,12.62,"1,340",55144,134,4824,1/1/2018,1/1/2021
David Martin,office manager,3,CT,MORTGAGE,"24,000","2,000",75.45,176888,54196.00,debt_consolidation,32000,60,28.72,"1,010",77952,101,6060,3/1/2018,3/1/2023
Elizabeth Gay,admin sec,7,GA,MORTGAGE,"16,500","1,375",74.86,51689,14021.00,debt_consolidation,10000,36,18.45,364,15535,36,1296,3/1/2018,3/1/2021
Joshua Davis,diet clerk,10,MO,MORTGAGE,"24,538","2,045",74.85,271233,28600.00,debt_consolidation,10000,36,13.59,340,14077,34,1224,2/1/2018,2/1/2021
William Cross,,,NJ,MORTGAGE,"12,036","1,003",74.38,53765,26641.00,debt_consolidation,1200,36,6.72,37,1442,4,144,1/1/2018,1/1/2021
Crystal Hartman,chef,1,NM,RENT,"30,000","2,500",74.3,118287,61334.00,debt_consolidation,40000,60,17.09,996,74180,100,6000,2/1/2018,2/1/2023
Gregory Wilkerson,admin/manager,5,OH,MORTGAGE,"40,000","3,333",73.75,117274,60745.00,debt_consolidation,20000,36,9.44,640,25664,64,2304,2/1/2018,2/1/2021
Jeffrey Robinson,pricing,7,IL,MORTGAGE,"41,000","3,417",72.89,349934,73036.00,other,15000,36,7.96,470,18582,47,1692,3/1/2018,3/1/2021
Terri Thomas,csr,4,AR,MORTGAGE,"26,000","2,167",72.16,246481,61861.00,debt_consolidation,16000,60,16.01,389,28808,39,2340,3/1/2018,3/1/2023
Lisa Dixon,,,OH,MORTGAGE,"37,000","3,083",71.91,218335,67288.00,debt_consolidation,35000,36,16.01,"1,231",51811,123,4428,3/1/2018,3/1/2021
Alex Hoffman,,,VA,MORTGAGE,"25,000","2,083",71.53,127709,47889.00,other,6000,36,11.99,199,8158,20,720,2/1/2018,2/1/2021
Carolyn Williams,area manager,10,NC,MORTGAGE,"46,000","3,833",71.04,289835,241910.00,debt_consolidation,12000,36,10.9,392,15924,39,1404,3/1/2018,3/1/2021
Todd Estrada,book keeper,10,MS,OWN,"15,000","1,250",70.48,39300,27125.00,debt_consolidation,30000,60,17.09,747,55635,75,4500,3/1/2018,3/1/2023
Ian Kidd,scheduling manager,10,MN,OWN,"34,000","2,833",70.21,82700,77049.00,debt_consolidation,40000,60,11.99,890,63980,89,5340,1/1/2018,1/1/2023
Heather Love,financial analyst,2,NC,MORTGAGE,"58,250","4,854",70.13,594089,86448.00,debt_consolidation,40000,60,9.44,839,58880,84,5040,2/1/2018,2/1/2023
Scott Perry,locksmith,2,FL,MORTGAGE,"28,000","2,333",69.44,272533,84029.00,other,32000,60,15.05,762,56080,76,4560,1/1/2018,1/1/2023
Kristina Tucker,surgery scheduler,5,TN,MORTGAGE,"30,000","2,500",69.36,345234,115064.00,debt_consolidation,32000,60,10.42,687,48672,69,4140,2/1/2018,2/1/2023
Katherine Hernandez,,,CA,MORTGAGE,"20,000","1,667",68.75,288488,37870.00,debt_consolidation,20000,60,11.99,445,31990,44,2640,1/1/2018,1/1/2023
Gary Franklin,,,OH,MORTGAGE,"36,780","3,065",68.74,225467,71490.00,debt_consolidation,35000,36,18.06,"1,266",53963,127,4572,1/1/2018,1/1/2021
Martin Patton,paralegal,10,FL,MORTGAGE,"65,700","5,475",68.61,365454,124663.00,home_improvement,3500,36,12.62,117,4825,12,432,1/1/2018,1/1/2021
Craig Oliver,teacher,8,IL,MORTGAGE,"22,000","1,833",68.3,183901,39201.00,debt_consolidation,18500,36,9.44,592,23739,59,2124,2/1/2018,2/1/2021
Charles Johnston,warehouse,6,TX,MORTGAGE,"21,320","1,777",66.72,312242,62742.00,other,12000,60,14.07,280,20442,28,1680,3/1/2018,3/1/2023
Ryan Jimenez,office manager,10,AL,MORTGAGE,"34,700","2,892",66.59,308687,59319.00,debt_consolidation,25000,60,10.42,536,38025,54,3240,1/1/2018,1/1/2023
Virginia Ray,senior account manager,3,LA,MORTGAGE,"46,422","3,869",66.18,329921,61656.00,debt_consolidation,35000,36,9.93,"1,128",45427,113,4068,2/1/2018,2/1/2021
Amanda Tanner,welder ,4,TX,RENT,"28,000","2,333",65.2,91988,70020.00,debt_consolidation,10000,36,14.07,342,14221,34,1224,3/1/2018,3/1/2021
Melanie Mcgee,operations supervisor ,3,TN,MORTGAGE,"36,000","3,000",65.07,121166,92310.00,debt_consolidation,12000,60,20,318,24000,32,1920,1/1/2018,1/1/2023
Michael Davies,rehab manager,10,MA,MORTGAGE,"45,000","3,750",64.51,341677,284722.00,other,12050,36,13.59,409,16963,41,1476,2/1/2018,2/1/2021
Melissa Phillips,home provider,10,KY,MORTGAGE,"47,595","3,966",64.47,337338,148960.00,debt_consolidation,14000,36,7.34,434,17083,43,1548,3/1/2018,3/1/2021
Pedro Gallegos,,,AL,OWN,"3,000",250,64.4,26400,6829.00,debt_consolidation,7000,36,7.97,219,8674,22,792,1/1/2018,1/1/2021
Andrea Burke,manager,6,TX,RENT,"24,000","2,000",63.7,82563,63852.00,credit_card,24000,36,17.47,861,36578,86,3096,3/1/2018,3/1/2021
Duane Williams,auto body mechanic,10,AL,MORTGAGE,"25,500","2,125",63.53,228170,99487.00,credit_card,25000,60,9.92,530,37400,53,3180,3/1/2018,3/1/2023
Crystal Combs,mechanic,9,MN,MORTGAGE,"60,000","5,000",63.45,600379,120779.00,debt_consolidation,35000,60,6.71,688,46743,69,4140,3/1/2018,3/1/2023
Teresa Greer,server,8,NV,MORTGAGE,"29,400","2,450",63.39,83393,44538.00,credit_card,24000,60,17.47,603,44964,60,3600,2/1/2018,2/1/2023
Christopher Cortez,paralegal,7,CT,MORTGAGE,"45,000","3,750",62.7,252001,197102.00,debt_consolidation,36250,36,19.42,"1,337",57369,134,4824,3/1/2018,3/1/2021
Tara Vazquez,bookkeeper,10,VA,MORTGAGE,"45,000","3,750",62.58,308171,97445.00,other,15000,36,10.41,487,19685,49,1764,3/1/2018,3/1/2021
Chad Smith,perishables assistant,5,OH,RENT,"17,000","1,417",62.57,45917,17475.00,other,3000,36,10.9,98,3981,10,360,3/1/2018,3/1/2021
Valerie Cline,dispatcher,5,NV,MORTGAGE,"30,000","2,500",62.48,190832,57345.00,home_improvement,32000,36,9.44,"1,024",41062,102,3672,1/1/2018,1/1/2021
Mark Leonard,landscaper ,1,NC,OWN,"25,000","2,083",61.31,186959,48432.00,credit_card,16000,36,16.01,563,23685,56,2016,3/1/2018,3/1/2021
Brian Boyd,owner,7,WV,MORTGAGE,"20,000","1,667",61.28,139646,44435.00,debt_consolidation,24000,60,13.59,553,40308,55,3300,1/1/2018,1/1/2023
Michael Ray,teacher,10,TX,MORTGAGE,"44,000","3,667",61.18,235536,222190.00,debt_consolidation,32000,36,22.91,"1,237",53994,124,4464,1/1/2018,1/1/2021
Justin Joyce,certified medical assistant,3,LA,RENT,"28,000","2,333",60.65,70670,59674.00,debt_consolidation,5000,36,18.06,181,7709,18,648,1/1/2018,1/1/2021
James Garcia,security officer,8,PA,MORTGAGE,"35,000","2,917",60.63,88863,64734.00,home_improvement,10000,36,14.08,342,14224,34,1224,1/1/2018,1/1/2021
Michelle Chapman,sales director,4,AL,MORTGAGE,"110,000","9,167",60.3,254705,173655.00,home_improvement,30000,36,10.41,974,39369,97,3492,3/1/2018,3/1/2021
Thomas Grant,licensed sales professional,0,IL,RENT,"28,000","2,333",60.22,96524,75878.00,debt_consolidation,16000,36,10.9,523,21232,52,1872,3/1/2018,3/1/2021
Ian Hernandez,cook,5,CA,RENT,"18,800","1,567",59.71,68888,38057.00,debt_consolidation,35000,36,10.42,"1,136",45941,114,4104,2/1/2018,2/1/2021
Arthur Park,,,AL,MORTGAGE,"50,000","4,167",59.68,329268,86113.00,debt_consolidation,15000,36,13.59,510,21116,51,1836,1/1/2018,1/1/2021
Natalie Palmer,dental assistant ,0,TX,RENT,"34,560","2,880",59.55,117251,78205.00,debt_consolidation,20000,36,7.96,626,24776,63,2268,3/1/2018,3/1/2021
Christopher Paul,cigarette selector 2,3,TX,MORTGAGE,"30,000","2,500",59.44,299231,84151.00,credit_card,7000,36,7.97,219,8674,22,792,1/1/2018,1/1/2021
Amanda Mcguire,,,FL,OWN,"16,620","1,385",59.35,59968,37547.00,debt_consolidation,6000,36,10.91,196,7964,20,720,2/1/2018,2/1/2021
Eric Ruiz,service technicia,10,WI,MORTGAGE,"50,000","4,167",59.29,375828,87934.00,debt_consolidation,40000,60,20,"1,060",80000,106,6360,1/1/2018,1/1/2023
Austin Gonzalez,president,5,FL,MORTGAGE,"25,000","2,083",58.92,314444,23583.00,other,21000,36,6.08,640,24830,64,2304,3/1/2018,3/1/2021
Jason Castillo,stylist,6,CT,RENT,"18,000","1,500",58.53,53608,38609.00,debt_consolidation,20000,36,17.09,714,30254,71,2556,2/1/2018,2/1/2021
Thomas Holmes,professional support employee,10,OK,MORTGAGE,"62,000","5,167",58.27,467710,110874.00,debt_consolidation,26000,36,7.34,807,31725,81,2916,3/1/2018,3/1/2021
Michael Cruz,,,MI,OWN,"14,000","1,167",58.23,27400,21924.00,credit_card,4000,36,15.05,139,5806,14,504,2/1/2018,2/1/2021
Christopher Lynch,,,PA,RENT,"16,000","1,333",58.06,34111,24117.00,debt_consolidation,10000,36,20,372,16000,37,1332,3/1/2018,3/1/2021
Sabrina Smith,president,8,FL,MORTGAGE,"35,000","2,917",58.06,294177,76821.00,major_purchase,18000,36,7.96,564,22298,56,2016,3/1/2018,3/1/2021
Gina Archer,security supervisor ,10,CA,RENT,"35,000","2,917",57.96,69839,52722.00,credit_card,23000,36,14.07,787,32708,79,2844,3/1/2018,3/1/2021
Erik Richards,operator ,1,CO,MORTGAGE,"48,000","4,000",57.83,466287,107503.00,debt_consolidation,18000,60,18.06,458,34254,46,2760,2/1/2018,2/1/2023
Stephanie Perez,baker,7,MO,OWN,"15,000","1,250",57.68,215738,24494.00,debt_consolidation,18000,36,7.35,559,21969,56,2016,2/1/2018,2/1/2021
Kristina Potter,office specialist ii,6,TX,MORTGAGE,"22,568","1,881",57.66,215257,39720.00,debt_consolidation,40000,60,16.01,973,72020,97,5820,3/1/2018,3/1/2023
Brittany Smith,administrative assistant,10,TX,MORTGAGE,"48,580","4,048",57.34,235213,72164.00,medical,10000,60,11.99,222,15995,22,1320,2/1/2018,2/1/2023
Louis Carrillo,retail,3,OH,MORTGAGE,"33,000","2,750",57.24,300914,123108.00,debt_consolidation,9600,36,16.02,338,14214,34,1224,2/1/2018,2/1/2021
Sherry Cruz,director/paramedic,2,ID,RENT,"68,750","5,729",57.17,197224,146543.00,major_purchase,17575,36,20.39,657,28326,66,2376,3/1/2018,3/1/2021
Steven Johnson,bookkeeping/audit,10,MN,RENT,"38,700","3,225",57.02,93351,64509.00,debt_consolidation,36400,60,15.04,867,63773,87,5220,3/1/2018,3/1/2023
Wayne Cabrera,aviation analyst ,5,AL,MORTGAGE,"47,000","3,917",56.92,373259,207235.00,debt_consolidation,9000,36,17.09,321,13614,32,1152,2/1/2018,2/1/2021
Steven Alvarez DDS,online developer,5,KY,MORTGAGE,"40,000","3,333",56.86,200750,78170.00,debt_consolidation,30000,60,19.03,779,58545,78,4680,2/1/2018,2/1/2023
Lauren Thomas,director of nursing,10,TX,MORTGAGE,"99,000","8,250",56.82,672257,157218.00,home_improvement,40000,60,10.42,858,60840,86,5160,3/1/2018,3/1/2023
Michael Gross,case worker,10,TX,MORTGAGE,"34,000","2,833",56.76,250795,76529.00,debt_consolidation,10500,36,9.43,336,13470,34,1224,3/1/2018,3/1/2021
Wayne Parrish,,,CO,RENT,"33,918","2,827",56.69,82482,64995.00,medical,3000,36,21.45,114,4931,11,396,2/1/2018,2/1/2021
Darryl King,accounting clerk,10,MI,MORTGAGE,"30,000","2,500",56.56,239745,78586.00,credit_card,18000,60,17.09,448,33381,45,2700,3/1/2018,3/1/2023
Kristina Duran,registered nurse,2,MO,RENT,"35,000","2,917",56.17,260194,58445.00,debt_consolidation,25000,60,11.99,556,39988,56,3360,1/1/2018,1/1/2023
Laurie Garcia,lab assistant ii,3,NV,RENT,"58,000","4,833",56.16,135979,101072.00,debt_consolidation,32000,60,21.45,874,66320,87,5220,1/1/2018,1/1/2023
Amanda Martin,bus driver,8,GA,MORTGAGE,"15,000","1,250",56.08,23770,10917.00,debt_consolidation,7775,36,18.45,283,12078,28,1008,3/1/2018,3/1/2021
Zachary Wagner,,,GA,MORTGAGE,"10,800",900,55.91,32525,12537.00,debt_consolidation,6000,36,15.05,208,8709,21,756,1/1/2018,1/1/2021
Patricia Harris,lpn,10,GA,MORTGAGE,"36,000","3,000",55.73,122967,70422.00,home_improvement,14000,60,10.9,304,21630,30,1800,3/1/2018,3/1/2023
Mary Price,professor,10,LA,OWN,"95,000","7,917",55.61,291230,227477.00,medical,10000,36,9.93,322,12979,32,1152,2/1/2018,2/1/2021
Mrs. Cassandra Chavez,,,MS,MORTGAGE,"25,500","2,125",55.44,204723,38734.00,debt_consolidation,19300,60,17.47,485,36159,48,2880,3/1/2018,3/1/2023
Victoria Guzman,cleaner,8,RI,RENT,"20,000","1,667",55.34,45281,20671.00,major_purchase,23500,60,13.59,542,39468,54,3240,1/1/2018,1/1/2023
Cynthia Frye,finance director,4,OR,MORTGAGE,"67,000","5,583",55.33,582498,133557.00,home_improvement,32025,36,11.98,"1,063",43535,106,3816,3/1/2018,3/1/2021
Mandy Myers,,,FL,OWN,"9,000",750,55.27,14300,3873.00,home_improvement,16000,36,16.02,563,23690,56,2016,1/1/2018,1/1/2021
Christopher Wiley,accounting manager,10,TX,MORTGAGE,"60,000","5,000",55.25,321514,96829.00,debt_consolidation,14400,36,6.72,443,17303,44,1584,1/1/2018,1/1/2021
Allison Ramos,teacher,5,KS,MORTGAGE,"50,129","4,177",55.11,299193,85835.00,home_improvement,7200,36,7.34,223,8785,22,792,3/1/2018,3/1/2021
Patricia Hensley,night merch,10,WA,MORTGAGE,"55,000","4,583",54.81,347850,95669.00,debt_consolidation,35000,60,15.05,834,61338,83,4980,2/1/2018,2/1/2023
Tanya Guzman,set up technician,3,AZ,RENT,"29,300","2,442",54.81,85649,46677.00,other,11000,36,13.59,374,15485,37,1332,1/1/2018,1/1/2021
Gary Jackson,personal banker / teller 4,5,FL,OWN,"30,000","2,500",54.6,111946,46061.00,debt_consolidation,23000,60,12.62,519,37513,52,3120,2/1/2018,2/1/2023
Sierra Benjamin,director of sales ,10,CA,MORTGAGE,"80,000","6,667",54.26,492461,134295.00,medical,30000,60,15.04,714,52560,71,4260,3/1/2018,3/1/2023
Ruben Rodriguez,research coordinator ,4,FL,MORTGAGE,"35,000","2,917",53.94,264702,82893.00,debt_consolidation,18000,36,9.93,580,23362,58,2088,1/1/2018,1/1/2021
Stephen Ramsey,fleet manager/route check in supervisor,10,IN,MORTGAGE,"55,000","4,583",53.65,269535,77072.00,other,27200,36,11.99,903,36984,90,3240,1/1/2018,1/1/2021
April Ballard,payroll ,4,MO,MORTGAGE,"42,000","3,500",53.46,479115,85191.00,credit_card,29000,36,6.08,883,34290,88,3168,1/1/2018,1/1/2021
Ethan Johnson,manager,3,NC,MORTGAGE,"45,000","3,750",53.41,155574,114988.00,home_improvement,21700,36,18.06,785,33457,79,2844,1/1/2018,1/1/2021
Jay Collins,agent,9,MD,MORTGAGE,"54,300","4,525",53.39,347839,93334.00,major_purchase,5000,36,15.05,173,7258,17,612,1/1/2018,1/1/2021
Amanda Wall,specialist,5,CO,MORTGAGE,"31,250","2,604",53.38,839094,77792.00,credit_card,17975,36,5.31,541,20838,54,1944,3/1/2018,3/1/2021
Renee Cortez,nurse,0,MN,RENT,"85,000","7,083",53.25,167378,106532.00,debt_consolidation,30150,36,26.3,"1,220",53938,122,4392,1/1/2018,1/1/2021
Courtney Haley,business process compliance ,0,OH,MORTGAGE,"120,000","10,000",52.91,423055,212517.00,other,16000,36,12.61,536,22053,54,1944,3/1/2018,3/1/2021
Darrell Mathews,clerk,10,IN,MORTGAGE,"50,000","4,167",52.78,35700,28212.00,debt_consolidation,32000,36,17.09,"1,142",48406,114,4104,2/1/2018,2/1/2021
Patrick Smith III,supervisor ,2,GA,OWN,"42,614","3,551",52.75,145904,88536.00,credit_card,15000,60,13.59,346,25193,35,2100,2/1/2018,2/1/2023
Diane Parks,,,CA,MORTGAGE,"12,000","1,000",52.7,155200,8538.00,major_purchase,30000,60,11.98,667,47970,67,4020,3/1/2018,3/1/2023
Melanie Boone,,,CO,MORTGAGE,"17,000","1,417",52.47,234333,48174.00,debt_consolidation,24000,60,9.93,509,35916,51,3060,1/1/2018,1/1/2023
Desiree Flores,,,CA,RENT,"36,000","3,000",52.27,71155,36225.00,credit_card,20000,36,22.91,773,33746,77,2772,1/1/2018,1/1/2021
Chris Vargas,financial aide accounts technician,9,NC,MORTGAGE,"32,500","2,708",52.22,304578,67494.00,home_improvement,12000,36,11.99,399,16316,40,1440,1/1/2018,1/1/2021
Jose Costa,police officer,10,MI,MORTGAGE,"65,000","5,417",52.03,309341,72837.00,debt_consolidation,12000,60,14.08,280,20448,28,1680,1/1/2018,1/1/2023
Austin Estrada,,,PA,RENT,"15,972","1,331",51.94,35475,20660.00,debt_consolidation,9500,36,16.01,334,14063,33,1188,2/1/2018,2/1/2021
Patrick Savage,machine operator ,3,TN,OWN,"38,000","3,167",51.14,85489,60585.00,debt_consolidation,7500,36,20,279,12000,28,1008,2/1/2018,2/1/2021
Andrew Chavez,loan officer assistant,5,VA,MORTGAGE,"92,000","7,667",50.91,639438,172642.00,credit_card,19325,60,13.59,446,32456,45,2700,1/1/2018,1/1/2023
Joseph Santiago,detective,10,GA,MORTGAGE,"55,000","4,583",50.91,353600,66115.00,credit_card,10400,36,16.02,366,15398,37,1332,1/1/2018,1/1/2021
Destiny Sanchez,project coordinator,9,NC,MORTGAGE,"39,500","3,292",50.77,412098,62581.00,debt_consolidation,24000,60,9.93,509,35916,51,3060,2/1/2018,2/1/2023
Richard Johnson,driver,10,IL,MORTGAGE,"68,000","5,667",50.75,150047,84799.00,debt_consolidation,20000,36,5.32,602,23192,60,2160,2/1/2018,2/1/2021
Joel Ferguson,hr supervisor,7,KS,MORTGAGE,"47,000","3,917",50.74,192783,64079.00,debt_consolidation,28975,36,16.02,"1,019",42900,102,3672,1/1/2018,1/1/2021
Bobby Brown,store manager,7,PA,MORTGAGE,"46,000","3,833",50.51,197513,58542.00,debt_consolidation,22000,60,12.61,496,35871,50,3000,3/1/2018,3/1/2023
Alison Ortega,customer resolution manager ,10,NH,MORTGAGE,"59,000","4,917",50.47,374752,79910.00,debt_consolidation,2500,36,25.81,100,4436,10,360,3/1/2018,3/1/2021
Olivia Nguyen,,,CA,MORTGAGE,"38,000","3,167",50.47,441832,61481.00,credit_card,11500,36,7.35,357,14036,36,1296,1/1/2018,1/1/2021
William Robbins,assembly ,5,IN,MORTGAGE,"38,000","3,167",50.47,147686,34162.00,home_improvement,28800,36,10.9,942,38218,94,3384,3/1/2018,3/1/2021
Wendy Hernandez,customer service,10,TX,MORTGAGE,"42,755","3,563",50.34,222060,71363.00,debt_consolidation,24000,36,14.08,821,34138,82,2952,1/1/2018,1/1/2021
