Names,profession,loan_purpose,total_credit_utilized,loan_amount,interest_rate,term,ten_of monthly,total_satoshis,total_sp_value,payoff_date,sp_price_on_date,btc_price_on_date,btc_sold_on_term,sp_sold_term,total_payment,spent_strategy
Mark Lynn,loan officer assistant,debt_consolidation,49939,10000,7.35,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,58545,4680
Ryan Adkins,msa,vacation,37431,4500,15.05,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,3982,360
Rebecca Adams,pricing,debt_consolidation,18753,20850,20,60,55,30967915,1.001,1/1/2023,3824,16540,5122.09,3827.824,38405,3312
Daniel Rowland,probation officer,credit_card,22205,15000,10.42,60,32,18017696,0.5824,1/1/2023,3824,16540,2980.13,2227.0976,55144,4824
Daniel Lopez,electrician ,debt_consolidation,35385,15000,10.91,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,77952,6060
Robert Gonzales,master inspecter,debt_consolidation,32843,10000,7.35,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,15535,1296
Hector Eaton,tugboat captain,debt_consolidation,122585,35000,13.59,60,81,45607293,1.4742,1/1/2023,3824,16540,7543.45,5637.3408,14077,1224
Richard Scott,braillist,debt_consolidation,16229,20000,15.05,60,48,27026544,0.8736,1/1/2023,3824,16540,4470.19,3340.6464,1442,144
Adam Stephenson,sales,debt_consolidation,22895,27000,15.05,60,64,36035392,1.1648,1/1/2023,3824,16540,5960.25,4454.1952,74180,6000
Michelle Craig,senior advisor architecture,debt_consolidation,43644,15000,11.99,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,25664,2304
Adrian Wilson,photographer,debt_consolidation,19417,4800,11.99,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,18582,1692
Erica Buck,analyst,debt_consolidation,69973,3000,10.42,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,28808,2340
Whitney Gilbert,manager ii,other,21579,14000,6.08,36,43,20957899,0.5375,1/1/2021,3700,29022.42,6082.49,1988.75,51811,4428
Maria Price DDS,regional director of operations,credit_card,101933,30000,11.99,60,67,37724551,1.2194,1/1/2023,3824,16540,6239.64,4662.9856,8158,720
Diana Ross,sr commercial account manager,debt_consolidation,33552,37200,9.44,36,119,57999767,1.4875,1/1/2021,3700,29022.42,16832.94,5503.75,15924,1404
Michele Stephens,correctional officer ,credit_card,18056,18000,7.35,60,36,20269908,0.6552,1/1/2023,3824,16540,3352.64,2505.4848,55635,4500
David Phillips,nurse,credit_card,55427,15000,10.91,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,63980,5340
Sandra Wall,rv tech,debt_consolidation,10234,10000,15.05,36,35,17058755,0.4375,1/1/2021,3700,29022.42,4950.86,1618.75,58880,5040
Justin Cox,relationship banker ,credit_card,39842,10000,14.08,60,23,12950219,0.4186,1/1/2023,3824,16540,2141.97,1600.7264,56080,4560
Vickie Peck,,debt_consolidation,11244,6000,25.82,36,24,11697432,0.3,1/1/2021,3700,29022.42,3394.88,1110,48672,4140
John Morales,educator ,debt_consolidation,176764,6000,10.91,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,31990,2640
Kevin Miller,office manager,credit_card,9963,4000,14.08,36,14,6823502,0.175,1/1/2021,3700,29022.42,1980.35,647.5,53963,4572
Matthew Mata,family service worker ii,debt_consolidation,46964,24000,17.09,36,86,41915798,1.075,1/1/2021,3700,29022.42,12164.98,3977.5,4825,432
Dr. Adam Kelly,maintenance,home_improvement,54852,4000,13.59,36,14,6823502,0.175,1/1/2021,3700,29022.42,1980.35,647.5,23739,2124
Richard Wallace,agent,home_improvement,35850,7000,11.99,36,23,11210039,0.2875,1/1/2021,3700,29022.42,3253.42,1063.75,20442,1680
Heather Bowman,lease operator,other,46044,20000,12.62,36,67,32655331,0.8375,1/1/2021,3700,29022.42,9477.37,3098.75,38025,3240
Dean Russell,shop forman ,credit_card,71234,2500,7.35,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,45427,4068
Brandon Henry,ceo,debt_consolidation,74039,40000,9.93,60,85,47859505,1.547,1/1/2023,3824,16540,7915.96,5915.728,14221,1224
Natasha Davis,,debt_consolidation,27846,18000,11.99,60,40,22522120,0.728,1/1/2023,3824,16540,3725.16,2783.872,24000,1920
Thomas Fernandez,postdoctoral research associate,major_purchase,14527,3000,9.44,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,16963,1476
Lynn Heath,hospital sales rep,debt_consolidation,72091,40000,12.62,60,90,50674770,1.638,1/1/2023,3824,16540,8381.61,6263.712,17083,1548
Matthew Hogan,engineer,debt_consolidation,34004,26000,6.72,36,80,38991440,1,1/1/2021,3700,29022.42,11316.26,3700,8674,792
David Bautista,global project manager,home_improvement,40346,20000,5.32,36,60,29243580,0.75,1/1/2021,3700,29022.42,8487.19,2775,36578,3096
Angela Banks,screening supervisor,credit_card,64014,15000,18.06,60,38,21396014,0.6916,1/1/2023,3824,16540,3538.9,2644.6784,37400,3180
John Lopez,prep touch up,major_purchase,3633,2400,9.44,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,46743,4140
Frank Wood,sgt,credit_card,53054,4400,7.97,36,14,6823502,0.175,1/1/2021,3700,29022.42,1980.35,647.5,44964,3600
Susan Cook,medical transporter,debt_consolidation,28508,20000,15.05,36,69,33630117,0.8625,1/1/2021,3700,29022.42,9760.27,3191.25,57369,4824
Kim Long,facilities technician ,debt_consolidation,28229,9000,9.93,36,29,14134397,0.3625,1/1/2021,3700,29022.42,4102.14,1341.25,19685,1764
Tamara Sexton,,debt_consolidation,42667,19950,30.17,60,65,36598445,1.183,1/1/2023,3824,16540,6053.38,4523.792,3981,360
Laurie Reilly,subsurface data doecialist,debt_consolidation,30935,29000,5.32,36,87,42403191,1.0875,1/1/2021,3700,29022.42,12306.43,4023.75,41062,3672
Shawn Clayton,interpreter/translator/school enrolment ,other,14955,15000,12.62,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,23685,2016
Michael Smith,payroll manager/ar,debt_consolidation,64416,36000,9.44,60,76,42792028,1.3832,1/1/2023,3824,16540,7077.8,5289.3568,40308,3300
Karen Williams,,credit_card,9721,8500,16.02,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,53994,4464
Katherine Johnson,director of finance,debt_consolidation,63019,30000,26.3,60,90,50674770,1.638,1/1/2023,3824,16540,8381.61,6263.712,7709,648
Maurice Jackson,project manager,debt_consolidation,15694,16000,21.45,60,44,24774332,0.8008,1/1/2023,3824,16540,4097.67,3062.2592,14224,1224
Laura Campbell,vp,debt_consolidation,118058,35000,18.06,60,89,50111717,1.6198,1/1/2023,3824,16540,8288.48,6194.1152,39369,3492
Lauren Castro,,car,11926,5500,6.72,36,17,8285681,0.2125,1/1/2021,3700,29022.42,2404.71,786.25,21232,1872
Miss Margaret Flores,production,debt_consolidation,21134,30000,14.08,60,70,39413710,1.274,1/1/2023,3824,16540,6519.03,4871.776,45941,4104
Michele Miller,clerk,debt_consolidation,26817,16000,15.05,60,38,21396014,0.6916,1/1/2023,3824,16540,3538.9,2644.6784,21116,1836
Erin Spears DDS,hair stylist,debt_consolidation,2813,3000,15.05,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,24776,2268
Nicole Ross,licensed staff agent,credit_card,14735,11500,6.08,36,35,17058755,0.4375,1/1/2021,3700,29022.42,4950.86,1618.75,8674,792
Christopher Ferguson,qa associate,other,9954,11000,13.59,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,7964,720
Scott Pham,director of operations,credit_card,96138,12000,9.44,36,38,18520934,0.475,1/1/2021,3700,29022.42,5375.22,1757.5,80000,6360
Carol Carter,senior consultant,debt_consolidation,81264,36000,6.08,36,110,53613230,1.375,1/1/2021,3700,29022.42,15559.86,5087.5,24830,2304
Carlos Moore,professor assistant,medical,24961,3000,13.59,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,30254,2556
Elizabeth Johnston,sales consultant,debt_consolidation,6147,1600,13.59,36,5,2436965,0.0625,1/1/2021,3700,29022.42,707.27,231.25,31725,2916
Amanda Clark,fnp ,credit_card,107697,18000,9.93,36,58,28268794,0.725,1/1/2021,3700,29022.42,8204.29,2682.5,5806,504
Mary Edwards,mechanical maintenance ,debt_consolidation,18959,16000,16.02,60,39,21959067,0.7098,1/1/2023,3824,16540,3632.03,2714.2752,16000,1332
Joel Smith DVM,dispatcher,debt_consolidation,62262,16000,7.35,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,22298,2016
Michael Cline,police,debt_consolidation,60805,20000,11.99,60,44,24774332,0.8008,1/1/2023,3824,16540,4097.67,3062.2592,32708,2844
Mary Watson,analyst,credit_card,129595,15000,5.32,36,45,21932685,0.5625,1/1/2021,3700,29022.42,6365.4,2081.25,34254,2760
Michelle Brown,heavy equipment operator,debt_consolidation,59004,21600,14.08,60,50,28152650,0.91,1/1/2023,3824,16540,4656.45,3479.84,21969,2016
Dr. Frederick Weber Jr.,security bike officer,debt_consolidation,4195,3500,20,36,13,6336109,0.1625,1/1/2021,3700,29022.42,1838.89,601.25,72020,5820
Danielle Fischer,civil engineering tech,debt_consolidation,30887,38400,10.42,60,82,46170346,1.4924,1/1/2023,3824,16540,7636.58,5706.9376,15995,1320
Carol Vazquez,support services assistant,debt_consolidation,20669,22000,9.93,60,47,26463491,0.8554,1/1/2023,3824,16540,4377.06,3271.0496,14214,1224
Collin Cortez,lpn,debt_consolidation,20931,19200,9.44,60,40,22522120,0.728,1/1/2023,3824,16540,3725.16,2783.872,28326,2376
Erik Harrell,communications officer,debt_consolidation,30966,8000,12.62,36,27,13159611,0.3375,1/1/2021,3700,29022.42,3819.24,1248.75,63773,5220
Patrick Peterson,rn,home_improvement,12238,20000,16.02,60,49,27589597,0.8918,1/1/2023,3824,16540,4563.32,3410.2432,13614,1152
Ethan Jackson,production,credit_card,18920,10000,13.59,60,23,12950219,0.4186,1/1/2023,3824,16540,2141.97,1600.7264,58545,4680
Felicia Bean,director of national accounts,debt_consolidation,109072,20000,5.32,36,60,29243580,0.75,1/1/2021,3700,29022.42,8487.19,2775,60840,5160
Michelle Gonzalez,hr ,credit_card,18916,24000,13.59,60,55,30967915,1.001,1/1/2023,3824,16540,5122.09,3827.824,13470,1224
Timothy Todd,hr consultant,debt_consolidation,73583,14400,7.97,36,45,21932685,0.5625,1/1/2021,3700,29022.42,6365.4,2081.25,4931,396
Anthony Benitez,,major_purchase,5194,5000,19.03,36,18,8773074,0.225,1/1/2021,3700,29022.42,2546.16,832.5,33381,2700
Donald Martin,,debt_consolidation,2699,5000,6.72,36,15,7310895,0.1875,1/1/2021,3700,29022.42,2121.8,693.75,39988,3360
Roger Thornton,driver,credit_card,19493,5000,13.59,36,17,8285681,0.2125,1/1/2021,3700,29022.42,2404.71,786.25,66320,5220
Dakota Davis,,home_improvement,45182,30750,25.82,36,124,60436732,1.55,1/1/2021,3700,29022.42,17540.2,5735,12078,1008
Ashley Medina,sales,debt_consolidation,85401,40000,9.93,60,85,47859505,1.547,1/1/2023,3824,16540,7915.96,5915.728,8709,756
Tracey Hebert,a/c service technician ,debt_consolidation,39817,8500,14.08,36,29,14134397,0.3625,1/1/2021,3700,29022.42,4102.14,1341.25,21630,1800
Louis Stein,clinical manager,other,43540,10000,14.08,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,12979,1152
Laura Lin,sales and marketing manager,credit_card,44351,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,36159,2880
Donald Collins,rgm,major_purchase,12893,15000,10.91,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,39468,3240
Christopher Mckinney,fiduciary trust officer,credit_card,141401,6000,10.91,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,43535,3816
Andrew Jacobson,home care provider,debt_consolidation,18356,12000,14.08,60,28,15765484,0.5096,1/1/2023,3824,16540,2607.61,1948.7104,23690,2016
Leonard Krause,,home_improvement,4600,7000,11.99,36,23,11210039,0.2875,1/1/2021,3700,29022.42,3253.42,1063.75,17303,1584
Joel Barry,office manager,debt_consolidation,58841,6700,14.08,36,23,11210039,0.2875,1/1/2021,3700,29022.42,3253.42,1063.75,8785,792
Colin Velasquez,administrative assistant,home_improvement,13248,8000,6.08,36,24,11697432,0.3,1/1/2021,3700,29022.42,3394.88,1110,61338,4980
Monica Bryan,foreman,debt_consolidation,50070,11000,18.06,36,40,19495720,0.5,1/1/2021,3700,29022.42,5658.13,1850,15485,1332
Jacqueline Lewis,senior business analyst,debt_consolidation,42888,6000,19.03,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,37513,3120
Tracie Bennett,asset protection,debt_consolidation,23037,14000,13.59,60,32,18017696,0.5824,1/1/2023,3824,16540,2980.13,2227.0976,52560,4260
Mariah Gutierrez,assistant district attorney,debt_consolidation,283750,13600,19.03,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,23362,2088
Abigail Martin,,debt_consolidation,16311,9000,19.03,36,33,16083969,0.4125,1/1/2021,3700,29022.42,4667.96,1526.25,36984,3240
Randy Mann,marketing specialist,credit_card,118341,15000,7.35,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,34290,3168
Teresa Ashley,general manager,debt_consolidation,14936,7000,5.32,36,21,10235253,0.2625,1/1/2021,3700,29022.42,2970.52,971.25,33457,2844
Nathan Hawkins,,debt_consolidation,3885,8000,16.02,36,28,13647004,0.35,1/1/2021,3700,29022.42,3960.69,1295,7258,612
Michael Porter,team leader,credit_card,67693,16000,7.35,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,20838,1944
Sharon Pena,sales manger,debt_consolidation,67146,30000,18.06,36,109,53125837,1.3625,1/1/2021,3700,29022.42,15418.4,5041.25,53938,4392
Frank Oconnor,server,credit_card,44488,24000,26.3,60,72,40539816,1.3104,1/1/2023,3824,16540,6705.29,5010.9696,22053,1944
Laura Benson,analyst,debt_consolidation,104331,16800,11.99,60,37,20832961,0.6734,1/1/2023,3824,16540,3445.77,2575.0816,48406,4104
Stephanie Mason,manager,debt_consolidation,184723,18000,9.93,36,58,28268794,0.725,1/1/2021,3700,29022.42,8204.29,2682.5,25193,2100
Ruth Hall,rn,debt_consolidation,46981,17000,7.35,36,53,25831829,0.6625,1/1/2021,3700,29022.42,7497.02,2451.25,47970,4020
Jordan Lang,,other,0,2000,17.09,36,7,3411751,0.0875,1/1/2021,3700,29022.42,990.17,323.75,35916,3060
Calvin Medina,grocery clerk,credit_card,12384,5000,9.44,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,33746,2772
Roberto Carter,senior system engineer,debt_consolidation,46880,13175,21.45,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,16316,1440
Patrick Love,cna,debt_consolidation,9695,35000,13.59,36,119,57999767,1.4875,1/1/2021,3700,29022.42,16832.94,5503.75,20448,1680
Shirley Flynn,sales supervisor,debt_consolidation,9393,16000,16.02,60,39,21959067,0.7098,1/1/2023,3824,16540,3632.03,2714.2752,14063,1188
Steven Scott,driver,major_purchase,16486,10000,9.44,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,12000,1008
Rodney Garcia,vocational counselor,debt_consolidation,93333,10000,21.45,60,27,15202431,0.4914,1/1/2023,3824,16540,2514.48,1879.1136,32456,2700
Elaine Kemp,staffing coordinator,credit_card,31908,6000,20,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,15398,1332
Jose Fischer,survey technician,debt_consolidation,59584,6000,15.05,36,21,10235253,0.2625,1/1/2021,3700,29022.42,2970.52,971.25,35916,3060
Gabriel Andrews,director of information technology,home_improvement,17045,30000,7.35,60,60,33783180,1.092,1/1/2023,3824,16540,5587.74,4175.808,23192,2160
Jeremy Owen,dept manager,vacation,87309,2800,10.91,36,9,4386537,0.1125,1/1/2021,3700,29022.42,1273.08,416.25,42900,3672
Gerald Jones,,credit_card,116051,20000,30.79,60,66,37161498,1.2012,1/1/2023,3824,16540,6146.51,4593.3888,35871,3000
James Whitaker,service tech,debt_consolidation,68742,25000,10.42,60,54,30404862,0.9828,1/1/2023,3824,16540,5028.96,3758.2272,4436,360
Julie Charles,nurse,credit_card,39371,20000,9.93,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,14036,1296
Leslie Velazquez,dist computer tech,debt_consolidation,24688,7500,12.62,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,38218,3384
Kaitlyn Ramirez,medical record ,debt_consolidation,19435,8300,6.72,36,26,12672218,0.325,1/1/2021,3700,29022.42,3677.78,1202.5,34138,2952
Matthew Johnson,financial advisor,credit_card,81539,25000,11.99,36,83,40453619,1.0375,1/1/2021,3700,29022.42,11740.62,3838.75,68715,5340
Brian Scott,teacher,home_improvement,24400,2000,12.62,36,7,3411751,0.0875,1/1/2021,3700,29022.42,990.17,323.75,37469,3000
Kayla Terrell,office administrator,debt_consolidation,23676,3000,13.59,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,30970,2808
Angela Leonard,bartender,debt_consolidation,2114,2500,13.59,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,33785,2952
Kristy Thompson,outside sales,debt_consolidation,12477,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,83700,6600
Savannah Schneider,tenant interviewer,debt_consolidation,4000,40000,10.42,60,86,48422558,1.5652,1/1/2023,3824,16540,8009.09,5985.3248,39132,3240
Tiffany Elliott,systems administrator,credit_card,35141,9000,14.08,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,36010,2940
Douglas Cox,territory manager,debt_consolidation,84019,12000,6.08,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,63980,5340
Cindy Lucas,veteran services representative,major_purchase,33055,10600,9.44,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,36188,3168
Susan Taylor,maintenance,debt_consolidation,26870,18000,9.93,36,58,28268794,0.725,1/1/2021,3700,29022.42,8204.29,2682.5,50428,4080
Tracy Mclaughlin,senior associate,debt_consolidation,189430,40000,6.08,36,122,59461946,1.525,1/1/2021,3700,29022.42,17257.3,5642.5,33908,2640
Amy Rocha,manager,debt_consolidation,26178,15500,9.44,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,30000,2400
Sandra Solomon,director of programs and education,credit_card,120284,40000,10.91,36,131,63848483,1.6375,1/1/2021,3700,29022.42,18530.37,6058.75,14642,1332
Norman Murphy,owner,home_improvement,65443,10000,11.99,36,33,16083969,0.4125,1/1/2021,3700,29022.42,4667.96,1526.25,12388,1116
Joseph White,risk operations ,other,19524,2000,9.93,36,6,2924358,0.075,1/1/2021,3700,29022.42,848.72,277.5,34000,2700
Pam Rowe,executive,debt_consolidation,48907,20000,20,36,74,36067082,0.925,1/1/2021,3700,29022.42,10467.54,3422.5,23544,2040
Erika Contreras,manager,credit_card,26720,18000,17.09,60,45,25337385,0.819,1/1/2023,3824,16540,4190.8,3131.856,50750,3960
Chelsea Ward,project manager,debt_consolidation,52771,17000,6.72,36,52,25344436,0.65,1/1/2021,3700,29022.42,7355.57,2405,47284,4392
Timothy Melendez,office manager,debt_consolidation,57185,20000,9.44,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,27572,2412
Anthony Rodriguez,cosmetologist,debt_consolidation,27422,18000,18.06,60,46,25900438,0.8372,1/1/2023,3824,16540,4283.93,3201.4528,23739,1980
Jennifer Norris,,debt_consolidation,23342,22800,12.62,36,76,37041868,0.95,1/1/2021,3700,29022.42,10750.45,3515,44009,3600
Patricia Howard,operations processing specialist ,debt_consolidation,25331,16000,25.82,60,48,27026544,0.8736,1/1/2023,3824,16540,4470.19,3340.6464,35193,3060
John Fry,line lead,other,36999,12000,10.42,36,39,19008327,0.4875,1/1/2021,3700,29022.42,5516.68,1803.75,18918,1764
Cory Davenport,clerk,debt_consolidation,6216,1000,9.93,36,3,1462179,0.0375,1/1/2021,3700,29022.42,424.36,138.75,15748,1404
Sharon Ward,daycare teacher,credit_card,17819,24000,10.42,36,78,38016654,0.975,1/1/2021,3700,29022.42,11033.35,3607.5,27256,2448
Michael Sanders,director of nursing,debt_consolidation,38635,14000,11.99,36,46,22420078,0.575,1/1/2021,3700,29022.42,6506.85,2127.5,45517,3924
David Martinez,project manager,credit_card,58064,8000,9.44,36,26,12672218,0.325,1/1/2021,3700,29022.42,3677.78,1202.5,35553,3096
